"utm10","Mmo2003","Mmo_P","Mmo_F","Mmo2015"
"VH69",0,0.00430322343479929,0.116484377531713,0
"VH70",0,0.00202825609467625,0.0583803522817012,0
"VH71",0,0.00186559625596135,0.053942706102821,0
"VH72",0,0.00198993069508658,0.0573383911701026,0
"VH73",0,0.00205046634572268,0.058983170265741,0
"VH74",0,0.00160275706867272,0.0466860295127668,0
"VH75",0,0.00132726043341718,0.0389636317754373,0
"VH76",0,0.00191432332377976,0.0552762961187649,0
"VH77",0,0.00219928226106819,0.0630031066916678,0
"VH78",0,0.00321306275145304,0.0895301088936696,0
"VH79",0,0.00324685722830822,0.0903894458914373,0
"VH80",0,0.00138085171764642,0.0404752903805914,0
"VH81",0,0.0013546086224611,0.0397356212382372,0
"VH82",0,0.00147622039678373,0.0431540411661165,0
"VH83",0,0.0013963517570872,0.0409116466305645,0
"VH84",0,0.00111253911943096,0.0328605247315119,0
"VH85",0,0.000897090030869272,0.0266610090647029,0
"VH86",0,0.00143668984187687,0.0420454472738927,0
"VH87",0,0.00175562202143382,0.0509194690096771,0
"VH88",0,0.00259329227059338,0.0734880715479524,0
"VH89",0,0.00281279084199778,0.0792314950351038,0
"VH90",0,0.000678070356440463,0.0202795433621947,0
"VH91",0,0.000688780347793506,0.0205934747667378,0
"VH92",0,0.00068822919928912,0.0205773242408034,0
"VH93",0,0.000661952120187086,0.0198067185822891,0
"VH94",0,0.000766038249413661,0.0228523113642282,0
"VH95",0,0.000822815932876907,0.0245059456381861,0
"VH96",0,0.00108059500182019,0.0319461606416291,0
"VH97",0,0.00156261909781619,0.0455683980198202,0
"VH98",0,0.00194456632016746,0.0561021796031492,0
"VH99",0,0.00216922312549695,0.0621937989664767,0
"VJ00",0,0.000239845501352411,0.00726533418571795,0
"VJ01",0,0.000229375012695274,0.00695029717164253,0
"VJ02",0,0.000259385466340152,0.00785273778350037,0
"VJ03",0,0.000441132000951962,0.0132843062146324,0
"VJ04",0,0.000792650797947396,0.0236280685557798,0
"VJ05",0,0.00169569134364286,0.0492640841039231,0
"VJ06",0,0.00291241774547619,0.0818157394112055,0
"VJ07",0,0.0061372724989419,0.158518584808294,0
"VJ08",0,0.00871077947237264,0.211398111396543,0
"VJ09",0,0.0193111254178855,0.375276210763539,0
"VJ10",0,0.000378414964316046,0.0114164924161261,0
"VJ11",0,0.000398574656200215,0.0120176254727771,0
"VJ12",0,0.000500371591749647,0.0150422998835805,0
"VJ13",0,0.000887524283377742,0.0263839752412163,0
"VJ14",0,0.00174336572436464,0.0505813826386255,0
"VJ15",0,0.00352947119388853,0.097515082082373,0
"VJ16",0,0.00462155453422736,0.124067278327694,0
"VJ17",0,0.00594071886486982,0.154199002375914,0
"VJ18",0,0.0111767321994916,0.256401836401643,0
"VJ19",0,0.0219691676187418,0.406615488433189,0
"VJ20",0,0.000577372008384224,0.0173183318060091,0
"VJ21",0,0.000686120093815198,0.0205155155212426,1
"VJ22",0,0.000974791706631799,0.028905696609738,0
"VJ23",0,0.00197531354698478,0.0569404049332819,1
"VJ24",0,0.00324076204699024,0.0902345712472851,0
"VJ25",0,0.00581111261161602,0.151327297217256,0
"VJ26",0,0.0079261455032185,0.195965411251206,0
"VJ27",0,0.0107733379166835,0.249379842713893,0
"VJ28",0,0.0112079278653672,0.25693963500152,0
"VJ29",0,0.0208978364418088,0.394349915753456,0
"VJ30",0,0.000861022869495272,0.0256156706645516,0
"VJ31",0,0.00113952591193413,0.0336316915317759,0
"VJ32",0,0.00165178738584365,0.0480478410849934,0
"VJ33",0,0.00321089611633676,0.0894749615886326,0
"VJ34",0,0.00407022968858351,0.110853675128398,0
"VJ35",0,0.00870779150656505,0.211340420458884,0
"VJ36",0,0.0119855592806637,0.270109281619351,0
"VJ37",0,0.0161185150954407,0.333230437668363,0
"VJ38",0,0.0139229746223119,0.301057424532134,0
"VJ39",0,0.0174418932415325,0.351293589732373,0
"VJ40",0,0.00128358067163136,0.0377281420485419,0
"VJ41",0,0.0019128161845198,0.0552351022769488,0
"VJ42",0,0.00262829810477385,0.0744086653670092,0
"VJ43",0,0.00438765996082682,0.118508012809333,0
"VJ44",0,0.00453874941506829,0.12210688306548,0
"VJ45",0,0.0084129017591695,0.205606667975962,0
"VJ46",0,0.0161759268282583,0.334033880496738,0
"VJ47",0,0.0214895529219574,0.401183092884763,0
"VJ48",0,0.0242974783368767,0.431714709285299,0
"VJ49",0,0.0244963094441291,0.433765340227396,0
"VJ50",0,0.0020744832128951,0.0596341845647829,0
"VJ51",0,0.00330803579390645,0.0919411426907845,0
"VJ52",0,0.00403835545328621,0.110077999256856,0
"VJ53",0,0.00596971678012922,0.154838957019569,0
"VJ54",0,0.00918093560815003,0.220376057747082,0
"VJ55",0,0.0126290859155256,0.280674844733645,0
"VJ56",0,0.0210193655177295,0.395765357961174,0
"VJ57",0,0.0278868868935688,0.466702104037055,0
