idnum,utmcode,lat,lon,alydic2002,alydic2015,alydic_p
1315,29TNJ94,43.7013969,-7.8438368,0,0,7.45E-35
1316,29TPE03,40.0685768,-7.7779722,0,0,2.69E-11
1317,29TPE04,40.1572952,-7.7753019,0,0,7.75E-11
1318,29TPE05,40.2453384,-7.7754083,0,0,5.33E-10
1319,29TPE06,40.3359299,-7.7720709,0,0,6.17E-10
1320,29TPE07,40.4271469,-7.7723918,0,0,3.05E-11
1321,29TPE08,40.513279,-7.771318,0,0,5.13E-12
1322,29TPE09,40.6049042,-7.7674255,0,0,6.20E-12
1323,29TPE13,40.0677757,-7.6589684,0,0,1.25E-11
1324,29TPE14,40.1549721,-7.6601434,0,0,1.71E-11
1325,29TPE15,40.2457237,-7.6543717,0,0,1.27E-10
1326,29TPE16,40.3344917,-7.6530352,0,0,2.35E-09
1327,29TPE17,40.4228821,-7.6536474,0,0,3.74E-10
1328,29TPE18,40.5141411,-7.6519227,0,0,6.60E-12
1329,29TPE19,40.6031723,-7.6502547,0,0,9.44E-12
1330,29TPE23,40.0614433,-7.5413938,0,0,1.07E-11
1331,29TPE24,40.1552696,-7.5377059,0,0,9.37E-12
1332,29TPE25,40.2445221,-7.5377998,0,0,2.71E-11
1333,29TPE26,40.3331566,-7.5346799,0,0,3.48E-10
1334,29TPE27,40.421814,-7.533339,0,0,1.33E-09
1335,29TPE28,40.5126152,-7.5319133,0,0,6.17E-11
1336,29TPE29,40.6034164,-7.5306959,0,0,6.17E-12
1337,29TPE33,40.0629158,-7.4197998,0,0,5.08E-12
1338,29TPE34,40.1507721,-7.4186339,0,0,6.18E-12
1339,29TPE35,40.2425613,-7.4174123,0,0,6.09E-12
1340,29TPE36,40.3313179,-7.4182038,0,0,1.02E-11
1341,29TPE37,40.4213638,-7.4136457,0,0,6.40E-11
1342,29TPE38,40.5105972,-7.4108725,0,0,2.77E-11
1343,29TPE39,40.5989532,-7.4124193,0,0,1.42E-11
1344,29TPE43,40.0603752,-7.3033571,0,0,2.42E-11
1345,29TPE44,40.1502457,-7.2986856,0,0,1.57E-11
1346,29TPE45,40.236969,-7.2994184,0,0,1.36E-11
1347,29TPE46,40.3302956,-7.295918,0,0,4.64E-12
1348,29TPE47,40.4206696,-7.2954001,0,0,4.30E-12
1349,29TPE48,40.508007,-7.293129,0,0,3.78E-12
1350,29TPE49,40.5984573,-7.2902293,0,0,3.91E-12
1351,29TPE53,40.0589218,-7.1824379,0,0,3.89E-10
1352,29TPE54,40.1460381,-7.1835403,0,0,1.42E-10
1353,29TPE55,40.2379265,-7.1771278,0,0,1.18E-10
1354,29TPE56,40.3256416,-7.1762848,0,0,1.40E-11
1355,29TPE57,40.4165726,-7.1751351,0,0,2.45E-12
1356,29TPE58,40.508007,-7.1748161,0,0,1.07E-12
1357,29TPE59,40.596756,-7.1690383,0,0,1.37E-12
1358,29TPE63,40.0526886,-7.0647554,0,0,3.31E-09
1359,29TPE64,40.1458359,-7.0600533,0,0,2.01E-09
1360,29TPE65,40.2350731,-7.0608768,0,0,1.27E-09
1361,29TPE66,40.3245163,-7.0557652,0,0,2.81E-11
1362,29TPE67,40.4124146,-7.0558314,0,0,4.11E-12
1363,29TPE68,40.5046425,-7.051055,0,0,1.73E-12
1364,29TPE69,40.5966568,-7.05193,0,0,1.83E-12
1365,29TPE73,40.0550232,-6.9453979,0,0,7.07E-09
1366,29TPE74,40.1413956,-6.9436879,0,0,3.33E-09
1367,29TPE75,40.2321167,-6.9401565,0,0,1.83E-09
1368,29TPE76,40.3215065,-6.9410458,0,0,8.26E-11
1369,29TPE77,40.4126663,-6.9337873,0,0,4.65E-12
1370,29TPE78,40.5007172,-6.9333639,0,0,2.71E-12
1371,29TPE79,40.5902977,-6.9319577,0,0,3.02E-12
1372,29TPE83,40.0509224,-6.8339515,0,0,3.62E-09
1373,29TPE84,40.1402206,-6.8275585,0,0,2.64E-09
1374,29TPE85,40.2274361,-6.824542,0,0,4.30E-09
1375,29TPE86,40.3200912,-6.8215051,0,0,1.38E-10
1376,29TPE87,40.4094276,-6.8225794,0,0,7.28E-12
1377,29TPE88,40.4985695,-6.8153648,0,0,4.20E-12
1378,29TPE89,40.5889282,-6.8157821,0,0,3.69E-12
1379,29TPE93,40.0503349,-6.715364,0,0,1.29E-09
1380,29TPE94,40.1389427,-6.7117147,0,0,1.45E-09
1381,29TPE95,40.2289772,-6.7078557,0,0,4.16E-09
1382,29TPE96,40.3144264,-6.7063203,0,0,4.01E-10
1383,29TPE97,40.4051743,-6.7024407,0,0,2.26E-11
1384,29TPE98,40.497818,-6.702806,0,0,6.63E-12
1385,29TPE99,40.5871239,-6.695807,0,0,5.05E-12
1386,29TPF00,40.6951447,-7.7675681,0,0,3.72E-13
1387,29TPF01,40.7866783,-7.7668657,0,0,5.18E-16
1388,29TPF02,40.8748779,-7.7655816,0,0,8.52E-16
1389,29TPF03,40.9663315,-7.7622008,0,0,3.64E-14
1390,29TPF04,41.0558548,-7.7600875,0,0,4.60E-14
1391,29TPF05,41.1452217,-7.7621899,0,0,7.92E-14
1392,29TPF06,41.2326775,-7.7598653,0,0,4.14E-13
1393,29TPF07,41.3223076,-7.7547874,0,0,2.50E-13
1394,29TPF08,41.4119568,-7.7562733,0,0,3.91E-13
1395,29TPF09,41.4999771,-7.7554154,0,0,2.12E-14
1396,29TPF10,40.6939011,-7.6458626,0,0,1.24E-12
1397,29TPF11,40.7820396,-7.6483364,0,0,1.40E-15
1398,29TPF12,40.8755608,-7.6453848,0,0,2.75E-15
1399,29TPF13,40.9662285,-7.6425815,0,0,5.37E-14
1400,29TPF14,41.0532188,-7.6411009,0,0,1.03E-13
1401,29TPF15,41.1423645,-7.6412849,0,0,8.52E-13
1402,29TPF16,41.2337799,-7.6383109,0,0,8.08E-13
1403,29TPF17,41.3207283,-7.6382771,0,0,6.46E-14
1404,29TPF18,41.4083099,-7.6347852,0,0,1.57E-13
1405,29TPF19,41.5001106,-7.6341472,0,0,1.34E-13
1406,29TPF20,40.6896591,-7.5303836,0,0,1.39E-12
1407,29TPF21,40.7815437,-7.5248671,0,0,3.78E-15
1408,29TPF22,40.8725433,-7.5244603,0,0,6.71E-15
1409,29TPF23,40.9630585,-7.525094,0,0,4.62E-14
1410,29TPF24,41.0530281,-7.5229201,0,0,2.59E-13
1411,29TPF25,41.1418762,-7.5182214,0,0,8.35E-12
1412,29TPF26,41.2310677,-7.518559,0,0,6.54E-12
1413,29TPF27,41.3198318,-7.5179124,0,0,2.08E-13
1414,29TPF28,41.4091759,-7.5168552,0,0,2.94E-14
1415,29TPF29,41.4980049,-7.5102682,0,0,2.11E-14
1416,29TPF30,40.6908875,-7.4094219,0,0,6.63E-13
1417,29TPF31,40.780262,-7.406074,0,0,1.68E-14
1418,29TPF32,40.8696861,-7.4039278,0,0,2.79E-14
1419,29TPF33,40.9602242,-7.4047637,0,0,1.19E-13
1420,29TPF34,41.0511627,-7.4016356,0,0,1.52E-12
1421,29TPF35,41.1414223,-7.400414,0,0,4.84E-11
1422,29TPF36,41.227478,-7.3967443,0,0,9.61E-11
1423,29TPF37,41.3180275,-7.3980093,0,0,4.07E-12
1424,29TPF38,41.4085693,-7.3931031,0,0,7.92E-14
1425,29TPF39,41.4972725,-7.3940396,0,0,1.40E-14
1426,29TPF40,40.6890297,-7.2876129,0,0,6.04E-13
1427,29TPF41,40.7792931,-7.2883205,0,0,7.93E-14
1428,29TPF42,40.8669472,-7.2861285,0,0,8.02E-14
1429,29TPF43,40.9580841,-7.2818465,0,0,3.36E-13
1430,29TPF44,41.0500603,-7.2806611,0,0,2.71E-12
1431,29TPF45,41.1368866,-7.2806969,0,0,5.82E-11
1432,29TPF46,41.2274933,-7.2793632,0,0,5.01E-11
1433,29TPF47,41.3168259,-7.272347,0,0,2.93E-11
1434,29TPF48,41.4060402,-7.2742572,0,0,1.47E-12
1435,29TPF49,41.4944038,-7.2723427,0,0,1.66E-13
1436,29TPF50,40.6864815,-7.167882,0,0,8.05E-13
1437,29TPF51,40.7753754,-7.1679392,0,0,1.26E-13
1438,29TPF52,40.8675537,-7.1654801,0,0,1.65E-13
1439,29TPF53,40.9577408,-7.1622195,0,0,7.03E-13
1440,29TPF54,41.0442924,-7.1596513,0,0,3.43E-12
1441,29TPF55,41.1359329,-7.160367,0,0,1.72E-11
1442,29TPF56,41.2255936,-7.1555223,0,0,1.49E-11
1443,29TPF57,41.3148804,-7.1560407,0,0,9.16E-12
1444,29TPF58,41.4023743,-7.1513872,0,0,1.18E-11
1445,29TPF59,41.4934692,-7.1508555,0,0,1.51E-12
1446,29TPF60,40.6830902,-7.0487962,0,0,1.34E-12
1447,29TPF61,40.7741661,-7.0456371,0,0,7.42E-13
1448,29TPF62,40.8653946,-7.0429745,0,0,9.40E-13
